Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Beograd,Žensko,Završena osnovna škola ili manje,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati sadržaje na TikToku. Dnevno provodi 150 minuta na društvenim mrežama i 150 minuta na striming servisima, dok informativne portale prati 60 minuta. Ima puno poverenje u TikTok, Facebook i Instagram, dok ne zna za poverenje u tradicionalne medije. Zainteresovan je za dokumentarne, naučno-obrazovne, kulturno-umetničke, zabavne i sportske programe. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati humorističke i satirične emisije. Ne zna koliko su štetni sadržaji zastupljeni u medijima."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, dok internet usluge i društvene mreže takođe igraju značajnu ulogu u njegovim medijskim navikama. Dnevno provodi 240 minuta gledajući televiziju, 120 minuta na društvenim mrežama i 60 minuta slušajući radio. Ima poverenje u radio stanice, dok ne pokazuje poverenje prema televizijskim stanicama. Iako ne prati informativne portale, kombinuje više medija kako bi došao do sadržaja. Zainteresovan je za muzički program i sportske prenose, dok su mu informativni i zabavni programi manje zanimljivi. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Zapadna Srbija sa Šumadijom,Žensko,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge i provodi 120 minuta dnevno na društvenim mrežama, posebno na Facebook-u, gde ima puno poverenje. Ne koristi televiziju, radio, informativne portale ili striming servise. Ne veruje u tradicionalne medije, dok društvene mreže smatra pouzdanim izvorom informacija. Zainteresovan je za rijaliti i muzički program, dok ne prati druge vrste sadržaja. Medijske sadržaje pronalazi isključivo preko Facebook-a i svakodnevno se informiše putem ove platforme. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet usluge, provodeći 30 minuta dnevno uz televiziju, 200 minuta uz radio, 45 minuta na društvenim mrežama i 50 minuta na striming servisima. Ima veoma malo poverenja u sve medije, a najčešće prati Instagram. Zanimaju ga informativno zabavni programi i humorističke emisije, dok ne prati dečiji program. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na RTS-u."
Beograd,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 200 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Najčešće prati TV stanice sa nacionalnom pokrivenošću, ali nema poverenja u njih. Ispitanik se interesuje za informativne programe i zabavne sadržaje, dok ne prati dokumentarne, kulturno-umetničke i dečije programe. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno pronalazi zanimljive teme na nacionalnim TV stanicama."
Beograd,Muško,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet, provodeći 90 minuta dnevno na informativnim portalima, društvenim mrežama i striming servisima. Ima poverenje u društvene mreže poput YouTube-a, Facebook-a i Instagrama, dok ne može da proceni poverenje u TV stanice i štampane medije. Prati vesti, reportaže, sportske prenose i takmičenja, a najviše štetnih sadržaja primećuje na internet portalima, posebno na Kuriru. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji veoma zastupljeni."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, provodeći 80 minuta dnevno gledajući TV, dok na društvenim mrežama, posebno Instagramu, provodi 120 minuta. Ima poverenje u nacionalne i kablovske TV stanice, ali ne prati striming servise. Zainteresovan je za zabavni i filmski sadržaj, dok je za informativne teme osrednje zainteresovan. Kombinuje više medija za pronalaženje sadržaja, a najčešće se oslanja na društvene mreže i kablovske stanice. Smatra da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije, radio i društvene mreže. Najčešće prati informativno-zabavni program i putopise, provodeći 60 minuta dnevno uz televiziju i 60 minuta uz informativne internet portale. Poverenje u medije je neutralno, a najčešće prati Prva TV, smatrajući da su štetni sadržaji veoma zastupljeni, posebno na internet portalima. Kombinuje više medija za pronalaženje sadržaja i svakodnevno se informiše putem kablovskih i lokalnih TV stanica."
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi internet usluge i društvene mreže, posebno Instagram i TikTok, dok ne koristi kablovsku televiziju, zemaljsku antenu niti striming aplikacije. Dnevno provodi 120 minuta na informativnim internet portalima i 180 minuta na društvenim mrežama, dok gleda televiziju samo 10 minuta. Ispitanik nema poverenja u većinu medija, uključujući društvene mreže, i smatra da su sadržaji koje prati lako dostupni. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati vesti i strane filmove. Zainteresovan je za muzički program i sportske razgovore, dok ne prati dokumentarne, kulturne, zabavne ili dečije programe."
Beograd,Muško,Završena osnovna škola ili manje,Penzioner,bošnjačka,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 400 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativno-zabavni program i šou programe, a medij koji najviše prati je TV Happy. Kombinuje više medija za pronalaženje sadržaja i smatra da u medijima nema štetnih sadržaja."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku televiziju i internet usluge, dok ne koristi kablovsku televiziju, striming aplikacije i informativne internet portale. Najčešće provodi 240 minuta dnevno uz televiziju, 280 minuta uz radio i 300 minuta na društvenim mrežama, posebno Facebook-u, kojem ima poverenja. Ispitanik se oslanja na TV stanice za informacije svakodnevno, dok ne prati lokalne i kablovske TV stanice. Zainteresovan je za zabavne i rijaliti programe, dok ne prati dokumentarne i sportske sadržaje. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, a najviše ih primećuje na Pink-u."
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 360 minuta dnevno gledajući televiziju, dok je vreme provedeno na radiju 45 minuta i na društvenim mrežama 30 minuta. Ne koristi striming aplikacije i informativne internet portale. Ima poverenje u specijalizovane informativne kanale i Instagram, dok ne veruje u TV stanice i štampane medije. Zainteresovan je za informativne programe i vesti, a najčešće prati reportaže i šou programe. Kombinuje više medija za pronalaženje sadržaja, a TikTok smatra medijem koji zadovoljava njegove interese. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji."
Vojvodina,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 400 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima poverenje u TV stanice koje su vidljive na teritoriji Srbije, posebno u Pink, koji prati svakodnevno. Najčešće gleda informativne programe (vesti) i zabavne kvizove, dok rijaliti, filmski i muzički programi takođe privlače njegovu pažnju. Ispitanik smatra da mediji ne sadrže štetne sadržaje i ne planira promene u izboru medija koji prati."
Vojvodina,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati striming sadržaje. Dnevno provodi 15 minuta uz televiziju, 180 minuta na informativnim internet portalima, 120 minuta na društvenim mrežama i 60 minuta na striming servisima. Ima nisko poverenje u većinu medija, posebno u televizijske stanice, dok najčešće prati Instagram. Zainteresovan je za kulturno-umetnički i filmski program, ali ne prati sportski, dečiji ili zabavni program. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Vojvodina,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati društvene mreže, posebno Instagram, i provodi 60 minuta dnevno na televiziji i društvenim mrežama. Ima neutralan stav prema poverenju u medije, dok je poverenje u radio stanice i Instagram nisko. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati informativne programe i sportske prenose. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati kablovsku televiziju, provodeći 120 minuta dnevno uz televiziju, 30 minuta uz informativne portale i 60 minuta na društvenim mrežama. Ima poverenje u medij NovaS, ali ne smatra da su informacije pravovremene ili nepristrasne. Prati informativno-zabavni program i šou programe, dok ne prati dokumentarne sadržaje. Kombinuje više medija za pronalaženje sadržaja i primećuje štetne sadržaje na internetu, posebno na Facebooku."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 90 minuta dnevno gledajući televiziju i 30 minuta na informativnim internet portalima i društvenim mrežama. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje u nacionalne i lokalne TV stanice. Najčešće prati vesti i putopise, a filmski sadržaj preferira iz stranih produkcija. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih informacija primećuje na internetu i u dnevnim novinama. Zainteresovan je za informativne programe, dok mu je poverenje u medije opterećeno sumnjom u dezinformacije."
Beograd,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće koristi internet, provodeći 30 minuta dnevno uz televiziju, 120 minuta uz radio, 60 minuta uz informativne portale, 120 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima nisko poverenje u TV stanice i štampane medije, dok najčešće prati Instagram. Zanimaju ga naučno-obrazovni, zabavni i verski programi, dok smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji. Kombinuje više medija za pronalaženje sadržaja."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće provodi 2 minuta dnevno gledajući televiziju i 4 minuta na informativnim internet portalima, dok društvene mreže koriste 3 minuta. Ima poverenje u kablovske i internet medije, dok ne veruje u regionalne i lokalne TV stanice. Prati Facebook i YouTube, a najčešće gleda aktuelne informativne emisije i reportaže. Zainteresovan je za muzički program, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja i smatra da štetni sadržaji nisu zastupljeni."
Južna i Istočna Srbija,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),romska,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 50 minuta dnevno uz TV i 300 minuta uz radio, dok ne koristi internet usluge, kablovsku televiziju, striming aplikacije ili društvene mreže. Ima neutralan stav prema poverenju u medije, a najčešće prati informativno-zabavne programe i humorističke emisije. Ne zna kako pronalazi medijske sadržaje i ne smatra da su štetni sadržaji zastupljeni u medijima. Njegovi razlozi za izbor medija uključuju poverenje, ali ne i pravovremenost ili objektivnost informacija."
Beograd,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 120 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne TV stanice poput RTS-a, dok ne veruje u kablovske, lokalne i internet medije. Prati informativno-zabavni program i kvizove, a najčešće gleda domaće serije. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na Pinku. Zainteresovan je za informativne, muzičke i zabavne programe."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati društvene mreže, posebno Facebook, gde pronalazi medijske sadržaje svakodnevno. U proseku provodi 180 minuta dnevno gledajući televiziju, 120 minuta na društvenim mrežama i 60 minuta na informativnim portalima. Ima poverenje u specijalizovane informativne kanale, radio stanice i društvene mreže, dok ne veruje u nacionalne i regionalne TV stanice. Zainteresovan je za informativne, dečije, filmske i sportske programe, a smatra da su štetni sadržaji veoma zastupljeni, posebno na internetu i dnevnim novinama."
Zapadna Srbija sa Šumadijom,Žensko,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije niti radio. Najčešće provodi 180 minuta dnevno na društvenim mrežama, posebno na Facebook-u, gde prati sadržaje svakodnevno. Ispitanik nema poverenja u medije, a najviše mu smeta pojava novog medija koji bi mogao da odgovara njegovim potrebama. Zainteresovan je za rijaliti i filmski program, dok ne prati dokumentarne i dečije programe. Smatra da su štetni sadržaji veoma zastupljeni, posebno na internetu i u dnevnim novinama."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge i provodi 10 minuta dnevno gledajući televiziju, 450 minuta slušajući radio, 240 minuta na informativnim internet portalima i 50 minuta na društvenim mrežama. Najčešće prati regionalne ili lokalne TV stanice i ima poverenje u različite medijske izvore, uključujući internet portale i društvene mreže. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati vesti i dokumentarne filmove. Iako smatra da su štetni sadržaji prisutni, posebno na internet portalima, ne prati kulturno-umetnički program i izražava malo interesovanje za razne medijske teme."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet, provodeći 120 minuta na informativnim portalima, 60 minuta na društvenim mrežama i 50 minuta na striming servisima. Ima poverenje u kablovske TV stanice i internet portale, dok ne veruje u TV stanice i štampane medije. Prati specijalizovane informativne kanale i informativno-dokumentarne programe, dok se zabavnim sadržajima bavi minimalno. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće koristi internet, provodeći 180 minuta dnevno uz televiziju, 360 minuta na društvenim mrežama, i 180 minuta na striming servisima. Ima nisko poverenje u sve medije, a najčešće prati TikTok. Zainteresovan je za dečije i filmske sadržaje, dok zabavni program prati kroz šou emisije. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na Pinku."
Beograd,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 300 minuta dnevno gledajući televiziju i 60 minuta na radiju. Ne koristi zemaljsku antenu, striming aplikacije ili informativne internet portale. Ima neutralan stav prema poverenju u medije, a najčešće prati N1. Zanimaju ga informativni programi i muzički sadržaji, dok ne prati dokumentarne, zabavne, sportske ili dečije programe. Kombinuje više medija za pronalaženje sadržaja, a u prethodnoj nedelji je najčešće koristio kablovske TV stanice. Smatra da u medijima nije zastupljen štetan sadržaj."
